case_id,mode,group,seed_cluster,cleared_count,source_count,complete,error,exit_reason,average_clear_time_s,total_virtual_time_s,distance_m,requests,clear_failures,program_runtime_s
LOCAL-final-q3-fixed_positive_bias-453340213,3,fixed_positive_bias,453340213,13,13,True,,user_exit,230.88385284615384,3001.490087,11032.450427671543,140,6,0.03649116598535329
LOCAL-final-q3-fixed_positive_bias-1021894739,3,fixed_positive_bias,1021894739,11,11,True,,user_exit,325.1743948181818,3576.918343,13884.591707126507,142,8,0.03593649994581938
LOCAL-final-q3-fixed_positive_bias-1289676171,3,fixed_positive_bias,1289676171,16,16,True,,user_exit,209.1698378125,3346.717405,12793.587010344025,144,15,0.05533754196949303
LOCAL-final-q3-fixed_positive_bias-1310090657,3,fixed_positive_bias,1310090657,11,11,True,,user_exit,260.90283636363637,2869.9312,10294.656001998075,144,8,0.026835499913431704
LOCAL-final-q3-fixed_positive_bias-1371284377,3,fixed_positive_bias,1371284377,12,12,True,,user_exit,263.20138141666666,3158.416577,11882.082888961735,139,8,0.02894674998242408
LOCAL-final-q3-fixed_positive_bias-291895626,3,fixed_positive_bias,291895626,13,13,True,,user_exit,214.70367884615385,2791.147825,10250.739119144368,131,6,0.03204391594044864
LOCAL-final-q3-fixed_positive_bias-1937660034,3,fixed_positive_bias,1937660034,15,15,True,,user_exit,203.7097069333333,3055.645604,11688.228018883628,129,9,0.034281209111213684
LOCAL-final-q3-fixed_positive_bias-1751159828,3,fixed_positive_bias,1751159828,15,15,True,,user_exit,211.57078046666666,3173.561707,11972.808531252653,138,6,0.0466681249672547
LOCAL-final-q3-fixed_positive_bias-217989136,3,fixed_positive_bias,217989136,10,10,True,,user_exit,273.02404590000003,2730.240459,10196.20229308962,122,5,0.02707662503235042
LOCAL-final-q3-fixed_positive_bias-776566696,3,fixed_positive_bias,776566696,13,13,True,,user_exit,226.9908756153846,2950.881383,11154.406909170242,126,3,0.034553166944533587
LOCAL-final-q3-fixed_positive_bias-1905196333,3,fixed_positive_bias,1905196333,14,14,True,,user_exit,212.94291842857143,2981.200858,11366.004289142496,128,10,0.03442549996543676
LOCAL-final-q3-fixed_positive_bias-2089914180,3,fixed_positive_bias,2089914180,13,13,True,,user_exit,240.79809615384616,3130.37525,11821.876249051524,137,9,0.03441916697192937
LOCAL-final-q3-fixed_positive_bias-1727381501,3,fixed_positive_bias,1727381501,11,11,True,,user_exit,246.560066,2712.160726,9770.80362085005,135,8,0.017601291998289526
LOCAL-final-q3-fixed_positive_bias-577352776,3,fixed_positive_bias,577352776,16,16,True,,user_exit,206.158639125,3298.538226,13012.691136778069,127,12,0.044200416072271764
LOCAL-final-q3-fixed_positive_bias-113672572,3,fixed_positive_bias,113672572,16,16,True,,user_exit,170.035872625,2720.573962,10232.869813622865,122,9,0.0448041659547016
LOCAL-final-q3-fixed_positive_bias-944028935,3,fixed_positive_bias,944028935,11,11,True,,user_exit,258.67534763636365,2845.428824,10392.14411505048,136,8,0.03800516703631729
LOCAL-final-q3-fixed_positive_bias-1637087785,3,fixed_positive_bias,1637087785,13,13,True,,user_exit,240.73917907692308,3129.609328,12103.046632596755,127,8,0.03517058305442333
LOCAL-final-q3-fixed_positive_bias-2085534289,3,fixed_positive_bias,2085534289,10,10,True,,user_exit,287.98282340000003,2879.828234,10369.14117010628,141,4,0.025956916972063482
LOCAL-final-q3-fixed_positive_bias-1662839802,3,fixed_positive_bias,1662839802,13,13,True,,user_exit,240.70038676923076,3129.105028,11855.525114894272,134,6,0.02315308293327689
LOCAL-final-q3-fixed_positive_bias-1207098925,3,fixed_positive_bias,1207098925,10,10,True,,user_exit,297.8654021,2978.654021,11233.270103639245,128,4,0.020906332996673882
LOCAL-final-q3-fixed_positive_bias-1015728973,3,fixed_positive_bias,1015728973,13,13,True,,user_exit,234.4844036923077,3048.297248,11431.486239887781,135,6,0.03140958305448294
